Filename,OCR System,CER,WER,Char Insertions,Char Deletions,Char Substitutions,Word Insertions,Word Deletions,Word Substitutions,Total Chars,Total Words
"Robertson - 1736 - The speech of Mr John Talbot Campo-bell, a free christian negro to his countrymen in the mountains of jamaica_page_47_page_001.xml",EasyOCR,0.164786,0.368000,99,62,58,27,8,57,1329,250
"Sheffeild - 1650 - A good conscience the strongest hold. A treatise of conscience, handling the nature acts offices use_page_109_page_001.xml",EasyOCR,0.756105,0.957895,256,361,1829,0,41,505,3235,570
"Spire - 1698 - The natures, uses, & doses of several approved and experienced medicines, faithfully prepared by Joh_page_7_page_001.xml",EasyOCR,0.731287,0.955603,482,463,1009,6,23,423,2672,473
Starkey - 1658 - Natures explication and Helmont's vindication. Or A short and sure way to a long and sound life bei_page_101_page_001.xml,EasyOCR,0.805134,0.996689,199,132,1049,3,1,297,1714,302
"Stow - 1633 - The survey of London containing the original, increase, modern estate and government of that city, m_page_250_page_001.xml",EasyOCR,0.747562,0.942581,528,1188,5107,2,212,1247,9127,1550
"Stubbe - 1662 - The Indian Nectar, or a discourse concerning chocolata_page_105_page_001.xml",EasyOCR,0.191771,0.523985,65,112,98,15,34,93,1434,271
Thomas - 1800 - Different plans for improving the Habour of Bristol_page_27_page_001.xml,EasyOCR,0.170465,0.290323,95,77,15,22,13,28,1097,217
Tryon - 1684 - Friendly advice to the gentle-man planters of the east and west indies_page_112_page_001.xml,EasyOCR,0.225806,0.575581,73,68,69,11,13,75,930,172
"Vaughan - 1612 - Approved directions for health, both naturall and artificiall deriued from the best physitians as we_page_41_page_001.xml",EasyOCR,0.784668,0.958678,309,286,1012,0,49,299,2048,363
Walwyn - 1646 - A word in season to all sorts of wel minded people in this miserably distracted and distempered nat_page_5_page_001.xml,EasyOCR,0.749342,0.952141,216,207,1284,5,27,346,2278,397
"Williams - 1750 - An essay on the bilious, or yellow fever of jamaica_page_28_page_001.xml",EasyOCR,0.159153,0.406015,57,65,111,16,13,79,1464,266
Windham - 1804 - Facts better than arguments_page_99_page_001.xml,EasyOCR,0.081169,0.250000,42,30,28,8,5,38,1232,204
Woods - 1784 - Thoughts on the slavery of the negroes_page_1_page_001.xml,EasyOCR,0.087346,0.245161,22,24,32,4,5,29,893,155
"Worthington - 1620 - The ground of a Christians life Deliuered in a sermon at Harwood in Lancashire, the first day of Dec_page_22_page_001.xml",EasyOCR,0.767842,0.970721,186,254,1432,0,69,362,2438,444
Wright - 1777 - Description of the Jesuits bark tree of Jamaica and the Caribbes_page_3_page_001.xml,EasyOCR,0.092784,0.573034,14,7,51,7,1,43,776,89
Young - 1807 - The West-India Common-place Book_page_149_page_001.xml,EasyOCR,0.066381,0.260870,27,12,23,3,4,35,934,161
"Anonymous - 1643 - A briefe relation, abstracted out of severall letters, of a most hellish, cruell, and bloudy plot ag_page_3_page_001.xml",Tesseract,0.645286,0.866564,311,317,1706,17,27,521,3617,652
"Anonymous - 1660 - By the merchants owners of ships and mariners, trading to His Majesties sugar-plantations_page_2_page_001.xml",Tesseract,0.127939,0.330749,113,33,137,24,8,96,2212,387
"Anonymous - 1675 - Every woman her own midwife, or, A Compleat cabinet opened for child-bearing women furnished with di_page_53_page_001.xml",Tesseract,0.188906,0.561505,133,179,410,20,48,320,3822,691
"Anonymous - 1675 - The Accomplish'd lady's delight in preserving, physick, beautifying, and cookery containing I. the a_page_102_page_001.xml",Tesseract,0.170475,0.501558,129,67,95,20,27,114,1707,321
Anonymous - 1675 - The gentlewomans cabinet unlocked wherein is contained many excellent receipts for neat dressing of_page_8_page_001.xml,Tesseract,0.759488,1.027907,193,145,1263,26,0,416,2108,430
Anonymous - 1676 - Wonderful news from Bristol_page_5_page_001.xml,Tesseract,0.162752,0.524444,16,53,125,1,19,98,1192,225
Anonymous - 1677 - The Case of His Majesties Plantations_page_3_page_001.xml,Tesseract,0.077862,0.302251,75,10,49,29,7,58,1721,311
"Anonymous - 1680 - The Interest of the three kingdoms, with respect to the business of the black box, and all the other_page_10_page_001.xml",Tesseract,0.140663,0.421265,188,122,267,45,36,232,4102,743
Anonymous - 1682 - A letter from Jamaica to a friend in London concerning kid-napping_page_1_page_001.xml,Tesseract,0.102950,0.295950,133,50,166,38,11,141,3390,642
Anonymous - 1690 - The compleat English and French cook describing the best and newest ways of ordering and dressing al_page_122_page_001.xml,Tesseract,0.755534,0.984925,331,166,1073,38,9,345,2078,398
Anonymous - 1692 - A brief but most true relation of the late barbarous and bloody plot of the negro's in the island of Barbados_page_1_page_001.xml,Tesseract,0.099256,0.313725,25,18,37,6,6,36,806,153
